国,クリック数,表示回数,CTR,掲載順位
米国,6,5220,0.11%,13.5
ドイツ,2,63,3.17%,11.68
エジプト,2,24,8.33%,15.54
フィリピン,1,275,0.36%,18.72
インド,1,260,0.38%,13.36
オーストラリア,1,247,0.4%,37.69
インドネシア,1,174,0.57%,10.53
ブラジル,1,142,0.7%,14.71
マレーシア,1,101,0.99%,9.14
シンガポール,1,101,0.99%,24.54
フランス,1,65,1.54%,10.92
トルコ,1,54,1.85%,12.87
スペイン,1,42,2.38%,9.88
ロシア,1,37,2.7%,15.7
アルゼンチン,1,35,2.86%,17.34
フィンランド,1,30,3.33%,9.53
ルーマニア,1,26,3.85%,9.77
イスラエル,1,23,4.35%,16.13
アイルランド,1,17,5.88%,16.76
オーストリア,1,16,6.25%,11
カナダ,0,472,0%,36.52
イギリス,0,265,0%,18.78
ベトナム,0,214,0%,14.77
日本,0,135,0%,8.05
韓国,0,123,0%,10.32
オランダ,0,76,0%,9.43
メキシコ,0,72,0%,13.38
中国,0,68,0%,12.19
タイ,0,64,0%,11.97
スウェーデン,0,62,0%,9.63
パキスタン,0,57,0%,13.86
イタリア,0,49,0%,11.39
バングラディッシュ,0,45,0%,14.27
イラク,0,40,0%,12.43
ノルウェー,0,38,0%,12.42
南アフリカ,0,38,0%,18.66
コロンビア,0,35,0%,15.74
ニュージーランド,0,34,0%,20.79
イラン,0,33,0%,7.21
モロッコ,0,32,0%,14
サウジアラビア,0,32,0%,19.97
ベルギー,0,31,0%,9.65
アラブ首長国連邦,0,30,0%,24.9
台湾,0,29,0%,7.41
ポーランド,0,29,0%,10
スイス連邦,0,26,0%,10.35
ウクライナ,0,25,0%,11.16
ペルー,0,24,0%,12.71
チリ,0,23,0%,10.35
アルジェリア,0,22,0%,13.5
ナイジェリア,0,21,0%,12
香港,0,19,0%,8.42
デンマーク,0,19,0%,13.21
ネパール,0,17,0%,7.65
ポルトガル,0,14,0%,8.64
ギリシャ,0,14,0%,9.86
ベネズエラ,0,14,0%,12.5
ヨルダン,0,14,0%,13.86
ハンガリー,0,13,0%,8.46
ボリビア,0,12,0%,10.75
カザフスタン,0,11,0%,9.64
セルビア,0,10,0%,6.5
ジャマイカ,0,10,0%,6.8
エクアドル,0,10,0%,9.3
チェキア,0,10,0%,10.1
レバノン,0,10,0%,24.8
クロアチア,0,9,0%,7.56
エストニア,0,9,0%,14.89
ミャンマー（ビルマ）,0,8,0%,7.38
セネガル,0,8,0%,7.38
オマーン,0,8,0%,13
トリニダード・トバゴ,0,8,0%,13.38
ケニア,0,8,0%,14.25
パナマ,0,8,0%,14.75
アルバニア,0,8,0%,17.88
カタール,0,8,0%,20.38
チュニジア,0,8,0%,20.88
モンゴル,0,7,0%,7.86
ウズベキスタン,0,7,0%,11.57
パラグアイ,0,7,0%,16.14
リトアニア,0,7,0%,17.71
ホンジュラス,0,6,0%,7.67
プエルトリコ,0,6,0%,14
グルジア,0,6,0%,17.67
クウェート,0,6,0%,20.83
ボスニア・ヘルツェゴビナ,0,5,0%,4.8
アフガニスタン,0,5,0%,5.4
コスタリカ,0,5,0%,6.4
グリーンランド,0,5,0%,7
ブルガリア,0,5,0%,7.8
スリランカ,0,5,0%,9.4
スロベニア,0,5,0%,9.6
ウルグアイ,0,5,0%,13.8
アルメニア,0,5,0%,19
ラトビア,0,5,0%,23.8
カンボジア,0,5,0%,42.8
コンゴ共和国 - ブラザビル,0,4,0%,6.5
エチオピア,0,4,0%,6.5
ルクセンブルグ,0,4,0%,11
アゼルバイジャン,0,4,0%,14
コートジボワール,0,4,0%,15
ガーナ,0,4,0%,15.75
グァテマラ,0,4,0%,16.75
キプロス,0,3,0%,7.33
グアダループ,0,3,0%,7.33
ブルネイ,0,3,0%,7.67
シリア,0,3,0%,9.67
モルドバ,0,3,0%,20
アンゴラ,0,3,0%,24.67
バーレーン,0,2,0%,4.5
ラオス,0,2,0%,8.5
セントルシア,0,2,0%,8.5
モンテネグロ,0,2,0%,8.5
ジンバブエ,0,2,0%,8.5
マダガスカル,0,2,0%,9
ドミニカ,0,2,0%,11
モルディブ,0,2,0%,11
ソロモン諸島,0,2,0%,11
コソボ,0,2,0%,21.5
アイスランド,0,2,0%,23
エルサルバドル,0,2,0%,29.5
マイヨット島,0,2,0%,44.5
グアム,0,1,0%,1
ガボン,0,1,0%,2
ニジェール,0,1,0%,3
イエメン,0,1,0%,3
ザンビア,0,1,0%,3
レユニオン,0,1,0%,4
トルクメニスタン,0,1,0%,6
モナコ,0,1,0%,7
マケドニア,0,1,0%,7
スーダン,0,1,0%,8
スワジランド,0,1,0%,9
ウガンダ,0,1,0%,9
マカオ,0,1,0%,10
モーリシャス,0,1,0%,10
シェラレオネ,0,1,0%,10
フィジー,0,1,0%,11
米領バージン諸島,0,1,0%,12
バハマ,0,1,0%,18
パレスチナ,0,1,0%,20
リビア,0,1,0%,29
キルギス,0,1,0%,36
ガイアナ,0,1,0%,47