日付,クリック数,表示回数,CTR,掲載順位
2026-04-23,0,0,,
2026-04-24,0,3,0%,5.7
2026-04-25,0,70,0%,8.3
2026-04-26,0,148,0%,10.3
2026-04-27,1,224,0.45%,11.4
2026-04-28,1,309,0.32%,12.2
2026-04-29,2,369,0.54%,11.1
2026-04-30,5,519,0.96%,13.3
2026-05-01,1,1031,0.1%,10.9
2026-05-02,4,1208,0.33%,11.3
2026-05-03,4,1223,0.33%,10.8
2026-05-04,0,155,0%,16.5
2026-05-05,0,34,0%,39.1
2026-05-06,0,47,0%,31.2
2026-05-07,0,38,0%,38.7
2026-05-08,0,52,0%,25.7
2026-05-09,0,57,0%,35.3
2026-05-10,0,41,0%,33.8
2026-05-11,0,66,0%,35.5
2026-05-12,5,1342,0.37%,15.9
2026-05-13,3,2038,0.15%,18.1
2026-05-14,1,710,0.14%,26.3